title,abstract
All Assam Chess Association,"The All Assam Chess Association () is a registered (under the Societies Registration Act: XXI of 1860, Number 1347 of 1981-82) chess association of the Assam state of India. It was formed in the late 1960s by Bodiyuz Zaman from Jorhat."
Georg Klaus,"Georg Klaus (28 December 1912, Nuremberg – 29 July 1974, Berlin) was a German philosopher, cybernetician, chess master, and functionary."
All India Chess Federation,"The All India Chess Federation (AICF) () is central administrative body for the game of chess in India. Founded in 1951, the federation is affiliated to Fédération Internationale des Échecs (FIDE),  the world body for chess."
Friedrich Nürnberg,Friedrich Nürnberg (8 August 1909 – 10 November 1984) was a German chess master.
Arturo Liebstein,"Arturo Liebstein, sometimes listed as Isaac Liebstein, was an Uruguayan chess master."
All India Chess Federation for the Blind,The All India Chess Federation for the Blind (AICFB) is the governing body for the game of Chess among visually impaired in India. It was formed in 1997 with a view to promoting the game of chess among the visually impaired all over the country.
Goa State Chess Association,"The Goa Chess Association (GSCA) is an association for the game of chess in Goa, India. It was formed in 1977 and is affiliated with the All India Chess Federation."
West Bengal Chess Association,"The West Bengal Chess Association (WBCA) is the apex body for the game of chess in West Bengal, India. It was formed in the late 1959s and is affiliated with the All India Chess Federation."
Simon Rubinstein,Simon Rubinstein (c. 1910 – 1942) was an Austrian chess master.
José Rubinstein,José Rubinstein (born 22 January 1940) is an Argentine chess master.
Solomon Rubinstein,"Solomon Rubinstein (1868 in Poland – 27 November 1931 in Los Angeles, United States) was a Polish–American chess master."
Constant Ferdinand Burille,"Constant Ferdinand Burille (born 30 August 1866 – died October 1914, Boston) was an American chess master."
Numeric Annotation Glyphs,"Numeric Annotation Glyphs or NAGs are used to annotate chess games when using a computer, typically providing an assessment of a chess move or a chess position. NAGs exist to indicate a simple annotation in a language independent manner."
Charles Moehle,"Charles Moehle (Möhle) (26 November 1859, New York – 1898) was an American chess master."
Horace Bigelow,Horace Ransom Bigelow (6 March 1898 – 18 April 1980) was an American chess master and organizer.
A.T. Bigelow,Dr. Alexander Thompson Bigelow (born 1841; died 1923) was an American chess master.
Tamil Nadu State Chess Association,"The Tamil Nadu State Chess Association (TNSCA) is the apex body for the game of chess in Tamil Nadu, India. It was formed on April 26, 1947 with a view to identifying upcoming chess players and mould them into world-class professionals."
All Tripura Chess Association,"The All Tripura Chess Association (ATCA) is the apex body for the game of chess in Tripura, India. It was formed in 1974 and is affiliated with the All India Chess Federation."
Emil Kemény,"Emil Kemény (13 January 1860, Budapest – 1 May 1925, Budapest) was a Hungarian–American chess master, editor and publisher."
Maharashtra Chess Association,"The Maharashtra Chess Association (MCA) is the apex body for the game of chess in Maharashtra, India. It was formed in 1963 and is affiliated with the All India Chess Federation."
Karl Poschauko,"Karl Poschauko (born 1900, date of death unknown) was an Austrian chess master."
Oskar Piotrowski,"Oskar Piotrowski, was a Polish chess master."
Time trouble,"In chess played with a time control, time trouble, time pressure, or its German translation Zeitnot, is the situation where a player has little time to complete the required moves. When forced to play quickly, the probability of making blunders is increased, so handling the clock is an important aspect of chess playing."
Adam Robinson,"Adam Robinson is an American educator, freelance author, and a US Chess Federation life master.  He is the co-founder of The Princeton Review."
Checkmate pattern,"In chess, several checkmate patterns occur frequently, or are otherwise of such interest to scholars, so as to have acquired specific names in chess commentary. The diagrams that follow show these checkmates with White checkmating Black."
Sport in Algeria,"Sport in Algeria dates back to antiquity. In the Aurès Mountains, people played games such as El Kherdba or El khergueba (a chess variant)."
Alexander Shakarov,"Alexander Shakarov (born 8 March 1948 in Baku, Azerbaijan SSR, USSR) is a Soviet chess player, coach and author of Armenian descent.Армянские звезды спортивного Баку (Russian)"
Solving chess,"Solving chess means finding an optimal strategy for playing chess, i.e."
Morphy number,"The Morphy number is a measure of how closely a chess player is connected to Paul Morphy (1837–1884) by way of playing chess games.Your Morphy Number is Up, by Taylor Kingston, PDF  People who played a chess game with Morphy have a Morphy number of 1."
Philip Corbin,Philip Corbin (born 1957) is a chess FIDE Master from Barbados.
Sharon Ellen Burtman,"Sharon Ellen Burtman (born 1968) is an American chess player.  Her titles include National Master (1994); Woman International Master (1989); New England Women's Champion (1988); and United States Women's Champion (1995, shared with Anjelina Belakovskaia)."
Thal Abergel,Thal Abergel (born 13 October 1982) is a French chess Grandmaster (2008).
Boško Abramović,"Boško Abramović (Бошко Абрамовић; born 1951, Zrenjanin, Yugoslavia) is a Serbian chess grandmaster and selector of the national team.Šah: Ivanišević šampion Srbije,  ŠumadijaPress, 6 May 2012."
Aryam Abreu Delgado,Aryam Abreu Delgado (born 9 July 1978) is a Cuban chess Grandmaster (2008).
Georgy Agzamov,"Georgy Tadzhikhanovich Agzamov (September 6, 1954, Tashkent – August 27, 1986, Sevastopol) was a Soviet chess Grandmaster, the first from Central Asia. He became an International Master in 1982 and was awarded the Grandmaster title in 1984."
Valentin Arbakov,"Valentin Mikhailovich Arbakov (28 January 1952 – 30 November 2003) was a Russian chess Grandmaster. In 1981, he shared first place in that year's Moscow City Chess Championship together with Andrei Sokolov."
Guillermo García González,Guillermo Garcia Gonzales (1953 in Santa Clara – 1990 in Havana) was a Cuban chess Grandmaster.
Ruben Gunawan,Ruben Muljadi  Gunawan (17 April 1968 – 27 August 2005) was an Indonesian chess Grandmaster (1999).
Alexander Panchenko,Alexander Nikolayevich Panchenko (; 5 October 1953 in Chelyabinsk – 19 May 2009 in Kazan) was a Russian chess Grandmaster and honoured coach who headed the All-Russian chess school.
Wolfgang Pietzsch,"Wolfgang Pietzsch (21 December 1930, Wittgendorf – 29 December 1996, Leipzig) was a chess Grandmaster (1965). He played in the Chess Olympiads of 1952, 1958, 1960, 1962, 1966 and 1968."
Shukhrat Safin,"Shukhrat Safin (3 April 1970 – 20 September 2009) was an Uzbekistani chess grandmaster. He took part in the FIDE World Chess Championship 2002, where he was knocked out in the first round by Predrag Nikolić."
Dragutin Sahović,Dragutin Sahović (1940 in Kraljevo – 2005 in Belgrade) was a chess Grandmaster.
Yuri Shabanov,"Yuri Fyodorovich Shabanov (, 11 November 1937 – 30 March 2010) was a Russian chess Grandmaster. He won the World Senior Chess Championship in 2003 and 2004, and the European Senior Teams championships in 2002 and 2006."
Maxim Sorokin,Maxim Sorokin (22 January 1968 – 30 June 2007) was a Russian chess Grandmaster (1992). In 1998–2002 he played for Argentina.
Péter Székely,Péter Székely (1955–2003) was a Hungarian chess Grandmaster.
László Vadász,"László Vadász (January 27, 1948 in Kiskunfélegyháza – January 3, 2005) was a Hungarian chess Grandmaster. He was one of the strongest Hungarian players in the 1970s."
Igor Zakharevich,Igor Zakharevich (1963–2008) was a Russian chess Grandmaster. In October 2005 he tied for 1st–2nd with Roman Ovetchkin in the Chigorin Memorial.
Yuriy Ajrapetjan,Yuriy Ajrapetjan (; born 18 April 1988 in Yerevan) is a Ukrainian chess player of Armenian descent.
Salvador Alonso,"Salvador Alonso (born September 13, 1974 in Buenos Aires) is a chess Grandmaster (2009)."
Mohammed Al-Sayed,"Mohamad Naser Al Sayed (born November 2, 1981) is a Qatari chess Grandmaster (2009). As of December, 2015, his FIDE Elo rating is 2520."
Dimitris Anagnostopoulos,"Dimitris Anagnostopoulos (; born 1970) is a Greek chess Grandmaster. He played for ""Kallithea Athens"" (Greece) in the 7th European Chess Club Cup in 1990."
Ingrid Tuk,"Ingrid Tuk—also known as Ineke Tuk, Ingrid Tuk-Jansen and Ingrid Jansen—won the Dutch Chess Championship for women in 1968 after Corry Vreeken won three consecutive championships in 1962, 1964 and 1966. Dutch Chess Union Dutch Chess Championship"
Premove,"Premove, in internet chess, refers to the act of a player making a move before it is their turn to move. This option is available on chess websites such as the Internet Chess Club and the Free Internet Chess Server."
Robert K. von Weizsäcker,"Robert Klaus Freiherr von Weizsäcker (born 6 December 1954) is a German Economist and Honorary President of the German Chess Federation. Since 2003 he has held the Chair of Economics, Public Finance and Industrial Organization at Munich University of Technology."
1988 in chess,Events in chess in 1988.
Adjournment,"Some board games, such as chess and Go, use an adjournment mechanism to suspend the game in progress so it can be continued at another time, typically the following day. The rationale is that games often extend in duration beyond what is reasonable for a single session of play."
Deep Sengupta,"Deep Sengupta (born 30 June 1988) is a chess player from Jharkhand, India, who now resides in Kasba. He is India's 22nd grandmaster."
The Chess Hotel,"The Chess Hotel is the third full-length album from American rock band The Elms. The album was released May 2, 2006, on Universal South Records."
Gaguik Oganessian,"Gaguik Oganessian (; 1947-2015) was an Armenian chess FIDE Master, President of FIDE Zone 1.5, Chairman of FIDE Mass Media (CHIPS) Commission, FIDE Executive Board Member, General Secretary of Armenian Chess Federation, editor-in-chief of Chess in Armenia magazine, 6th World Amateur Chess Champion, International Chess Organizer, author of 36 chess books."
European Chess Club Cup,The European Chess Club Cup is an annual chess tournament for club teams from Europe. It is organised by the European Chess Union.
The Chess Master,"The Chess Master, or 棋王 (qíwáng), is a 1984 novel by Chinese writer Ah Cheng, writing under his pseudonym A Cheng. This short novel features characters who were part of the Down to the Countryside Movement after the Cultural Revolution."
Lublin Grandmaster Tournament,"The Lublin Grandmaster Tournament (in full Międzynarodowy Arcymistrzowski Turniej Szachowy im. Unii Lubelskiej meaning International Grandmasters' Tournament the Lublin Union Memorial) is an annual chess tournament, set up primarily as part of the city's bid to become the 2016 European Capital of Culture, which eventually went to Wroclaw instead."
Hyacinthe Henri Boncourt,"Hyacinthe Henri Boncourt (1765? – March 23, 1840) was one of the leading chess players in France in the years between 1820 and 1840."
Operation Chess,Operation Chess was a British Commando raid during the Second World War. It was carried out by 17 men of No.
Charles G. M. Watson,Charles Gilbert Marriott Watson (22 October 1878 – 5 March 1961) was an Australian national chess champion.
Harry L. Nelson,"Harry Lewis Nelson (born January 8, 1932) is an American mathematician and computer programmer. He was a member of the team that won the World Computer Chess Championship in 1983Bogner, Harold, ""The New Champion"", in Chess Life, vol."
Chess and Backgammon Classics,"Chess and Backgammon Classics, retitled Chess Classics a week after release,  is a video game by Gameloft for the iPod Nano (3rd and 4th generation), the iPod classic, and the iPod (5th generation)."
Félix Sicre,Félix Sicre (1817 – 1871) was a Cuban chess master.
Alexander Ferdinand von der Goltz,Alexander Ferdinand von der Goltz (1819–1858) was a German chess master.
Paul Journoud,"Paul Journoud (January 1821, Lyon – December 1882, Paris) was a French chess master and editor."
Wincenty Budzyński,"Wincenty Budzyński (Budzinski, Budzinsky) (1815, Volhynia – 5 May 1866, Paris) was a Polish politician agent and Polish–French chess master."
Eduard Jenay,Eduard Jenay was an Austrian chess master.
Frederick Perrin,Frederic (Frederick) Perrin (5 December 1815 – 27 January 1889) was an American chess master.
James Thompson,"James Thompson (23 September 1804, London - 2 December 1870, New York) was an American chess master."
Clarence Howell,"Clarence Seaman Howell (2 April 1881, New York City – 27 October 1936) was an American chess master."
Go at the 2010 Asian Games,"A Weiqi tournament was held at the 2010 Asian Games in Guangzhou for the first time at an Asiad. The three events in the competition - men's team, women's team and mixed doubles — were held between 20 and 26 November 2010 at the Guangzhou Chess Institute."
Arved Heinrichsen,"Arved Heinrichsen (Arvydas Hainričsenas, 23 November 1879, in Vilnius – 23 August 1900, in Vilnius), was a Lithuanian chess master."
Hermann Clemenz,Hermann Clemenz (23 January 1846 – 28 March 1908) was an Estonian chess master.
Business chess,Business chess is  a variant of chess played in teams. It was invented in 1992 by Dr.
List of Jewish chess players,"Jewish players and game theoreticians have long been involved in the game of chess and have significantly contributed to the development of chess, which has been described as the ""Jewish National game""."
Dirk Bleijkmans,Jan Dirk Bleijkmans (Bleykmans) (16 May 1875– 27 December 1944)Dirk Bleijkmans at chessgames.com was a Dutch chess master.
Kasimir de Weydlich,"Casimir (Kasimir, Kazimierz) de Weydlich (4 August 1859 – 17 September 1913) was a Polish chess master."
Priyome,"PriyomeAlso transliterated priem, prijóm, etc. () is a Russian noun that is used directly and generically in English to represent some sort of typical maneuver or technique in chess."
Cyril Vansittart,Cyril Bexley Vansittart (1852 – 22 January 1887) was an English–Italian chess master.
FIDE Women's Grand Prix 2009–11,"The FIDE Women's Grand Prix 2009–11 was a series of six chess tournaments exclusively for women, which formed part of the qualification cycle for the Women's World Chess Championship 2011. The winner of the Grand Prix (the one with most Grand Prix points) was to challenge Hou Yifan—the 2010 world champion— in the third quarter of 2011."
Moheschunder Bannerjee,"Moheschunder Bannerjee (Bengali: মহেশচন্দ্র বন্দ্যোপাধ্যায়, fl. 1850) or Mahesh Chandra Banerjee was a strong chess player from Bengal, many hundred of whose games survive through the writings of John Cochrane, who regularly played Bannerjee between 1848 and 1860, during Cochrane's tenure at the Calcutta bar."
Gibraltar Chess Festival,The Gibraltar International Chess Festival is a chess tournament held annually at the Caleta Hotel in Gibraltar. Its eleven days of competition usually run from late January to early February.
Polish Blitz Chess Championship,The Polish Blitz Chess Championship is a chess competition held annually in Poland.
Chess player,A chess player is someone who plays the game of chess.
Norman Macleod,Norman Alasdair Macleod (6 December 1927 in Glasgow – 2 October 1991) was a Scottish chess player and chess composer. He gained title International Grandmaster FIDE in 1993.
"List of lakes in Deer Lodge County, Montana","There are at least 25 named lakes and reservoirs in Deer Lodge County, Montana.  ""Hearts of spades international chess club"""
Olimpiu G. Urcan,"Olimpiu G. Urcan (born 1977, Romania) is a Singapore-based chess player,Balestier Rapid League | Singapore, Balestier | 30 Nov 2016 historian, author and journalist."
Lim Seng Hoo,"Lim Seng Hoo (born 1956) is a Singaporean chess International Master. He won the national Singaporean Chess Championship in 1975, 1976, 1977 and 1978 and represented Singapore two times in the Asian Team Chess Championships (1977 and 1974)."
Terry Toh,Terry Toh (born 1974) is a Singapore chess International Master. He won the national Singaporean Chess Championship in 1995.
Chess aesthetics,"Chess aesthetics or beauty in chess is generally appreciated by both players and composers. This is evident, for example, in Damsky, I."
Peter Markland,"Peter Markland (born 13 April 1951 in Bolton, Lancashire) is a British chess player. He was a member of the British team at the Chess Olympiads in 1972 and 1974."
40th Chess Olympiad,"The 40th Chess Olympiad, organised by the Fédération Internationale des Échecs and comprising an openAlthough commonly referred to as the men's division, this section is open to all male and female players. and women's tournament, as well as several events designed to promote the game of chess, took place in Istanbul, Turkey,Chess Olympiad 2012 in Istanbul, Turkey, Chessdom."
41st Chess Olympiad,"The 41st Chess Olympiad, organised by the Fédération Internationale des Échecs (FIDE) and comprising an openAlthough commonly referred to as the men's division, this section is open to all male and female players. and women's tournament, as well as several events designed to promote the game of chess, took place in Tromsø, Norway, between 1–14 August 2014."
Ilya Shumov,"Ilya Stepanovich Shumov (, 16 June 1819 in Arkhangelsk – July 1881 in Sevastopol) was a Russian chess master."
Irisberto Herrera,"Irisberto Herrera, (Cuba, December 7, 1968) is a Spanish-Cuban chess grandmaster. On the January 2008 FIDE list his Elo rating was 2458."
Jutta Hempel,"Jutta Hempel (born September 27, 1960 in Flensburg)Revista Ajedrez (Argentina), July 1967, page 235 is a German former chess prodigy. Hempel showed remarkable aptitude for the game at a young age - by age three she could watch a game of chess and replay it from memory, and by age four she was playing competitively at the Youth Center in Flensburg."
Anupama Gokhale,"Anupama Gokhale (born Anupama Abhyankar,Gokhale, Anupama FIDE rating history, 1986-2001 at OlimpBase.org 17 May 1969 in Mumbai) is an Indian chess player."
Chess at the 2010 Asian Games,"Chess at the 2010 Asian Games was held in Guangzhou Chess Institute, Guangzhou, China from November 13 to 26, 2010 with four individual and team events."
Xiangqi at the 2010 Asian Games,"Xiangqi at the 2010 Asian Games was held in Guangzhou Chess Institute, Guangzhou, China from November 13 to 19, 2010. China won both gold medals."
Natalia Edzgveradze,"Natalia Edzgveradze (born 23 July 1975) is a Georgian chess Woman Grandmaster and FIDE Trainer (2005), currently working in Singapore as a trainer of Intchess Asia Pte Ltd."
Modenese Masters,"The Modenese Masters were three 18th-century chess masters and writers from Modena, Italy:"
School of chess,A school of chess denotes a chess player or group of players that share common ideas about the strategy of the game. There have been several schools in the history of modern chess.
Xiangqi at the 2010 Asian Games – Women's individual,The competition of the Women's individual standard Xiangqi took place at the Guangzhou Chess Institute between November 13 and November 19 at the 2010 Asian Games.
Miervaldis Jursevskis,"Miervaldis (Walter) Jurševskis (November 6, 1921 in Riga, Latvia – March 15, 2014 in Burnaby, British ColumbiaObituary on the Vancouver Sun) was a Latvian-Canadian chess master, and a professional artist."
Alexander Solovtsov,"Alexander Vladimirovich Solovtsov (; 14 November 1847, Kazan – 20 March 1923 Moscow) was a Russian chess master."
Rundlauf,"A Rundlauf in chess is a thematic motif which occurs rarely in over the board play and occasionally is the subject of a chess composition or chess problem.  A rundlauf is the movement of a single piece in a geometric shape such as a square or diamond, which accomplishes either a tactical or strategic goal (perhaps ""round-trip"" would be a good English equivalent to the German."
Boris Baczynsky,"Boris Baczynsky (Baczynski) (14 October 1945, Vienna – 2008, United States) was an American chess master.Boris Baczynsky - Chessgames - New In Chess"
Last Exit on Brooklyn,"The Last Exit on Brooklyn was a Seattle University District coffeehouse established in 1967 by Irv Cisski. It is known for its part in the history of Seattle's counterculture, for its pioneering role in establishing Seattle's coffee culture, and as a former chess venue frequented by several master players."
Women's World Chess Championship 2006,"The Women's World Chess Championship 2006 took place from March 10–27, 2006 in Ekaterinburg, Russia. For the fourth time, the championship took the form of a 64-player knock-out tournament."
Women's World Chess Championship 2004,"The Women's World Chess Championship 2004 took place from May 21 to June 4, 2004 in Elista, Russia.  It was won by Antoaneta Stefanova, who beat Ekaterina Kovalevskaya in the final by 2½ to ½."
Women's World Chess Championship 2001,"The Women's World Chess Championship 2001 took place from November 25 to December 14, 2001 in Moscow, Russia.  It was won by Zhu Chen, who beat Alexandra Kosteniuk in the final by 5 to 3."
Women's World Chess Championship 1927,The First Women's World Chess Championship took place during the 1st Chess Olympiad 1927 in London. It was organized by FIDE and was played as a full round-robin tournament.
Mathematical chess problem,Mathematical chess problem is a mathematical problem which is formulated using a chessboard and chess pieces. These problems belong to recreational mathematics.
Steven Zierk,Steven Zierk (born August 27 1993) is an American chess Grandmaster. He is best known for being the 2010 World Under 18 Chess Champion.
Oscar Chess Ltd v Williams,"Oscar Chess Ltd v Williams [1957] EWCA Civ 5 is an English contract law case, concerning the difference between a term and a representation."
Azerbaijani Chess Championship,"The Azerbaijani Chess Championship is usually held in Baku, Azerbaijan. It is organised by the Azerbaijan Chess Federation (ACF)."
World Chess Championship 2014,"The World Chess Championship 2014 was a match between the world champion Magnus Carlsen and challenger Viswanathan Anand, to determine the World Chess Champion. It was held from 7 to 28 November 2014, under the auspices of the World Chess Federation (FIDE) in Sochi, Russia."
John L. Watson,John Leonard Watson (born 1951) is a chess International Master and author.
Bill Hook,"Bill (or William) Hook (May 28, 1925 – May 10, 2010death ), born in New Rochelle, New York, was a Chess master and the Captain of the British Virgin Islands chess team."
Millennium 3D Chess,"Millennium 3D Chess is a three-dimensional chess variant created by William L. D'Agostino in 2001 which employs three vertically stacked 8×8 boards, with each player controlling a standard set of chess pieces."
Women's World Chess Championship 1930,The 2nd Women's World Chess Championship took place during the 3rd Chess Olympiad in Hamburg. The tournament was played as a double round-robin tournament.
Women's World Chess Championship 2011,"The Women's World Chess Championship 2011 was the 35th of its kind. It was organised by FIDE and was played in a match format between the defending champion and a challenger, determined via the FIDE Grand Prix series."
Marcus Kann,"Marcus Kann  (1820 in Vienna – February 3, 1886) was an Austrian chess player.Marcus Kann in the German Wikipedia"
Cubic Chess,"Cubic Chess is a chess variant invented by Vladimír Pribylinec beginning with an early version (named Echos) in 1977. The game substitutes cubes for the chess pieces, where four of the faces of each cube display a different chess piece (pawn, knight, bishop and rook), the two other faces are blank and are orientated to the players."
Josep Tolosa,"Josep Tolosa i Carreras, (Girona, November 28, 1826 – Barcelona, April 28, 1916) was a Catalan physician, chess writer and player."
Valentí Marín,"Valentí Marín i Llovet (January 17, 1872 in Barcelona – December 7, 1936 in ididem) was a Catalan notary, chess writer and player."
Ferdinand Maack,"Ferdinand Maack (1861–1930) was a German doctor, inventor and occultist. He invented Raumschach, the classic 3D chess game, first described by him in the Frankfurter Zeitung in 1907."
César Augusto Blanco-Gramajo,"César Augusto Blanco-Gramajo is an ICCF chess grandmaster. He primarily plays correspondence chess, and has twice been Latin American champion in this modality."
Women's World Chess Championship 1931,The 3rd Women's World Chess Championship took place during the 4th Chess Olympiad in Prague between 12-26 July 1931. The tournament was played as a double round-robin tournament.
Monty Newborn,"Monroe ""Monty"" Newborn (born May 21, 1938), chairman of the computer chess committee for the Association of Computing Machines,The New York Times was a professor of electrical engineering in Columbia University,Habitats tomorrow: homes and communities in an exciting new era : selections from The futurist, Edward Cornish, World Future Society and is now a professor of computer science at McGill University in Montreal.Once Again, Machine Beats Human Champion at Chess He co-wrote a computer chess program named Ostrich."
Chessgames.com,"Chessgames.com is an Internet chess community with over 224,000 members."
Ouk-Khmer,Ouk-Khmer (also known as Cambodian Chess) is a chess variant which D. B.
Eveline Burgess,"Eveline Allen Burgess (September 19, 1856 – July 10, 1936) of Lamoni, Iowa was the American women's chess champion from 1907 to 1920."
List of amateur chess players,"This is a list of skilled but non-professional chess players who were famous for some other reason, but whose life or work was significantly impacted by the game of chess."
Social and cultural exchange in Al-Andalus,thumb|upright=1.35|A Jew and a Muslim playing chess in 13th century al-Andalus.
Xiexiemaster,"Xiexiemaster or simply Xiexie is a strong xiangqi (Chinese chess) program created by Pascal Tang in 1998. At the beginning, as the program was located in France, it was very hard to find Chinese chess high class players."
Anglo-American cable chess matches,"The Anglo-American cable chess matches were a series of yearly chess matches between teams from the United States and Great Britain conducted over transatlantic cable from 1896 to 1911, except for the three-year gap of 1904 to 1906 when no matches were held.  This series was closely contested, with each team winning six matches and one match being drawn."
Women's chess in Australia,Women in Australia participated in chess.  They were participating by the 1940s.
The Master Game,"The Master Game was a BBC production of televised chess tournaments that ran for seven series on BBC2 from 1976 to 1983.Barden, Leonard; James, Jeremy."
Unachess,Unachess is a chess variant played with a standard board and pieces. It starts with each player having all his pieces in hand.
Carl Haffner's Love of the Draw,Carl Haffner’s Love of the Draw () is a 1998 chess novel by Austrian writer Thomas Glavinic. It was Glavinic's first novel and is about a shy and withdrawn Viennese chess master who in 1910 challenges the World Champion for his title.
Tatiana Kostiuk,Tatiana Kostiuk (born 21 November 1982) is a Ukrainian chess player who has earned the Woman Grandmaster title.
Emil Richter,Emil Richter (14 January 1894 – 16 March 1971) was a Czech chess master who was born and died in Prague.  He won the Czech Chess Championship in 1948 and was awarded the International Master title in 1951.
Chess World Cup 2011,"The Chess World Cup 2011 was a chess World Cup tournament. It was a 128-player single-elimination tournament, played between 26 August and 21 September 2011, in Khanty-Mansiysk, Russia."
Pasapali Sari,"Pasapali Sari () is a handloom sari weaved mainly in the Bargarh district of Odisha, India. The name Pasapali is derived from pasā or gambling games using Chess board."
Manoj Kumar,"Manoj Kumar is a Fijian chess player who has won the Fiji National Championship eight times: 1998, 1999, 2000, 2003, 2007, 2008, 2009, and 2010."
FIDE Women's Grand Prix 2011–12,"The FIDE Women's Grand Prix 2011–12 was a series of six chess tournaments exclusively for women, which formed part of the qualification cycle for the Women's World Chess Championship 2013. The winner of the Grand Prix, Hou Yifan, will challenge the 2012 Women's World Chess champion."
Women's World Chess Championship 2013,"The Women's World Chess Championship 2013 was a chess match for the championship. The match was scheduled over ten games  from 10 to 27 September 2013 in Taizhou, Jiangsu, China."
Gisela Fischdick,"Gisela Fischdick (born 5 November 1955 in Mülheim an der Ruhr) is a German chess Woman Grandmaster. In July 2011 her FIDE rating was 2236, making her the 21st ranked active female player in Germany."
World Chess Championship 2013,"The World Chess Championship 2013 was a match between reigning world champion Viswanathan Anand and challenger Magnus Carlsen, to determine the 2013 World Chess Champion. It was held from 9 to 22 November 2013 in Chennai, India, under the auspices of FIDE (the World Chess Federation)."
Bilbao Chess Masters Final,"The Bilbao Chess Masters Final (previously called the Grand Slam Chess Final) is an annual chess tournament which between 2008-12 brought together the strongest players from the previous year's ""Grand Slam"" events. Series organisers Grand Slam Chess Association (GSCA) became defunct in 2012 due to the demise of the Grand Slam hosts and scheduling problems but the Bilbao Masters has continued as an annual invitational event."
Australasian Masters,"The Australian Masters is a chess tournament that has been held in Melbourne, Australia, annually since 1987. The tournament is an invitational event, normally run as a 10-player round-robin tournament."
Uruguayan Immortal,The Uruguayan Immortal is a game of chess played in the 1943 Uruguayan Chess Championship between B. Molinari and Luis Roux Cabral.
Luis Roux Cabral,"Luis Lisandro Roux Cabral (17 November 1913, in MontevideoVisa with photo – 1973?) was an Uruguayan chess master."
Arne Zwaig,Arne Zwaig (born 6 February 1947) is a Norwegian chess player who holds the title of International Master. He won the Norwegian chess championship in 1964 and 1969.
Diego Di Berardino,"Diego Rafael Di Berardino (born  29 July 1987 in Rio de Janeiro) is a chess International Master. He took part in the Chess World Cup 2011, but was knocked out in the first round by Gata Kamsky."
Polyknight,"A polyknight is a plane geometric figure formed by selecting cells in a square lattice that could represent the path of a chess knight in which doubling back is allowed. It is a polyform with square cells which are not necessarily connected, comparable to the polyking."
Women's World Chess Championship 1933,The 4th Women's World Chess Championship took place during the 5th Chess Olympiad in Folkestone. The tournament was played as a double round-robin tournament.
Philip M. Cohen,Philip M. Cohen is the inventor of several chess variants.
Chess equipment,"Chess equipment are the tangible items required to play a game of chess.  To have an  (OTB) chess tournament the equipment required includes: chess pieces, chessboard, chess clock,  and table."
Brian Eley,"Brian Ratcliffe Eley (born 6 July 1946)Edward Winter's Chess Notes item 9034, citing Brian Eley interview conducted for  is a former British Chess Champion. He is wanted by British police on suspicion of sexual offences against underage boys, and has been a fugitive since 1991."
Belize National Youth Chess Foundation,The Belize National Youth Chess Foundation (B.N.
Rudolph Reti,"Rudolph Reti, also Réti (; November 27, 1885 – February 7, 1957), was a musical analyst, composer and pianist. (He was the older brother of the  chess master Richard Réti, but unlike his brother, Reti did not write his surname with an acute accent on the 'e')."
Wildebeest Chess,Wildebeest Chess is a chess variant created by R. Wayne Schmittberger in 1987.
Chad,"Chad is a chess variant for two players created by Christian Freeling in 1979. It is played on an uncheckered 12×12 gameboard with one king and eight rooks per side, where rooks are able to promote to queens."
Chess with Friends,"Chess with Friends  is a multiplayer asynchronous  chess game developed by Zynga with Friends (formerly Newtoy, Inc.), which also developed Words with Friends and Hanging with Friends."
Lists of things named after places,* List of chess openings named after places
Women's World Chess Championship 1935,The 5th Women's World Chess Championship took place during the 6th Chess Olympiad. The final results were as follows:Stanisław Gawlikowski Olimpiady szachowe 1924 - 1974 Wyd.
Ernst Hunter Wright,"Ernst Hunter Wright (1882–1968) was a professor at Columbia, a chairman of English Institute at Columbia (1942–1946), an author of many notable works, an editor-in-chief of Richards Cyclopedia for Juveniles.Columbia University Libraries Archival Collections:Ernest Hunter Wright Collection, 1892-1968Columbia University:Rare Book & Manuscript LibraryA Primer of Chess, Jose Capablanca, Chess World Champion Dr Wright specialized in the 18th century, Shakespeare and Rousseau."
World Correspondence Chess Championship,The World Correspondence Chess Championship determines the World Champion in correspondence chess. Men and women of any age are eligible to contest the title.
Women's World Chess Championship 1949–50,"The 8th Women's World Chess Championship took place in the winter of 1949–1950 in Moscow, Russia. The title had been vacant since the death of Vera Menchik in 1944."
Chess at the 2011 Pan Arab Games,"At the 2011 Pan Arab Games, the chess events were held at Aspire Zone in Doha, Qatar from 10–22 December. A total of 6 events were contested."
Barca,"Barca is a two-player strategy board game invented by Andrew Caldwell.  It is played on a 10x10 checkered board with three types of animal playing-pieces that move like the queen, bishop and rook in chess."
Zvonko Stanojoski,"Zvonko Stanojoski (Macedonian: Звонко Станојоски; born January 29, 1964 in Prilep) is a Macedonian chess Grandmaster. In 2007 he won the Open Championship of Macedonia with a score of 7."
Jaime Emma,"Jaime Emma (1938–2005) was an Argentine journalist, lawyer and chess player.  He won the Argentine Chess Championship in 1978, the same year he won the title of International Master."
